Arction ref;Libelle court;Categorie;Team;Group;Children;Date;comptage;Eco tCO2e;Eco eau;Eco dechets;;
D02;Couper le moteur quand on ne roule pas;Transport;ROUGES;Rouges maternelles;lion;25/11/2024;1;1.518;0;0;;
B07;Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…;Transport;ROUGES;Rouges maternelles;lion;25/11/2024;1;0.506;0;0;;
D02;Couper le moteur quand on ne roule pas;Transport;ROUGES;Rouges CM2;figue;26/11/2024;1;1.518;0;0;;
B07;Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…;Transport;ROUGES;Rouges CM2;figue;26/11/2024;1;0.506;0;0;;
E08;Prendre seulement 1 bain par semaine;Eau;ROUGES;Rouges CM2;figue;26/11/2024;1;0.140658;357;0;;
E08;Couper l’‘eau quand on se savonne les mains;Eau;ROUGES;Rouges CM2;figue;26/11/2024;1;0.0049644;12.6;0;;
D01;Choisir le bouton de la chasse d’‘eau selon ses besoins;Eau;ROUGES;Rouges CM2;figue;26/11/2024;1;0.006501;16.5;0;;
W02;Couper l’‘eau quand on se brosse les dents et utiliser un gobelet;Eau;ROUGES;Rouges CM2;figue;26/11/2024;1;0.011032;28;0;;
D08;Ne pas arracher les plantes;Biodiversité;ROUGES;Rouges CM2;figue;26/11/2024;1;0;0;0;;
D03;Ne pas tuer les petites bêtes;Biodiversité;ROUGES;Rouges CM2;figue;26/11/2024;1;0;0;0;;
D06;Manger moins de viande (manger du poisson ou des œufs);Biodiversité;ROUGES;Rouges CM2;figue;26/11/2024;1;5.962226726;0;0;;
B02;Faire des courses proches de chez soi;Courses;ROUGES;Rouges CM2;figue;26/11/2024;1;13.7935;0;0;;
D11;Préparer soi-même ses goûters, ses yaourts;Courses;ROUGES;Rouges CM2;figue;26/11/2024;1;1.260407206;0;0.180058172;;
T04;Ramasser les déchets et les mettre dans une poubelle;Déchets;ROUGES;Rouges CM2;figue;26/11/2024;1;0.00947;0;0.1;;
D06;Ne pas jeter les déchets dans la nature;Déchets;ROUGES;Rouges CM2;figue;26/11/2024;1;0.424875192;0;4.486538462;;
D10;Utiliser les bacs de tri (noir, vert, jaune);Déchets;ROUGES;Rouges CM2;figue;26/11/2024;1;0.866961538;0;0;;
W04;Utiliser une gourde quand on veut boire dehors;Déchets;ROUGES;Rouges CM2;figue;26/11/2024;1;0.54243;0;0.21;;
W02;Boire de l’‘eau du robinet plutôt que de l’‘eau en bouteilles en plastique;Déchets;ROUGES;Rouges CM2;figue;26/11/2024;1;0.54243;0;0.21;;
W03;Acheter en vrac, éviter les emballages plastiques privilégier les emballages cartons;Déchets;ROUGES;Rouges CM2;figue;26/11/2024;1;0.379014348;0;34.86;;
D06;Réparer plutôt que jeter;Déchets;ROUGES;Rouges CM2;figue;26/11/2024;1;0.017373808;0;0.183461538;;
W01;Réutiliser le dos des feuilles en brouillon;Déchets;ROUGES;Rouges CM2;figue;26/11/2024;1;0.009641;0;0.8;;
C06;Acheter seulement quand on en a besoin,;Déchets;ROUGES;Rouges CM2;figue;26/11/2024;1;0.000238596;0;0.134615385;;
D04;Donner les habits qui ne nous vont plus ou les jouets qu’‘on utilise plus au lieu de les jeter;Déchets;ROUGES;Rouges CM2;figue;26/11/2024;1;0.017373808;0;0.183461538;;
D02;Garder les restes de repas pour les manger un autre jour;Déchets;ROUGES;Rouges CM2;figue;26/11/2024;1;2.453510562;0;1.390384615;;
E03;Utiliser les heures creuses et moins chauffer;Electricité;ROUGES;Rouges CM2;figue;26/11/2024;1;24.40746291;0;0;;
E01;Eteindre la lumière quand on quitte la pièce;Electricité;ROUGES;Rouges CM2;figue;26/11/2024;1;0.027408;0;0;;
E08;Fermer les volets l’‘hiver;Electricité;ROUGES;Rouges CM2;figue;26/11/2024;1;0.000172955;0;0;;
E04;Eteindre complètement les appareils (ne pas laisser sous veille);Electricité;ROUGES;Rouges CM2;figue;26/11/2024;1;0.15988;0;0;;
C01;Fermer le frigo;Electricité;ROUGES;Rouges CM2;figue;26/11/2024;1;0.000172955;0;0;;
D09;Fermer les fenêtres quand on chauffe;Electricité;ROUGES;Rouges CM2;figue;26/11/2024;1;0.000172955;0;0;;
B01;Eteindre la télé quand on ne la regarde pas;Electricité;ROUGES;Rouges CM2;figue;26/11/2024;1;0.15988;0;1;;
B02;Faire des courses proches de chez soi;Courses;ROUGES;Rouges maternelles;dinosaure;02/12/2024;1;13.7935;0;0;;
D04;Donner les habits qui ne nous vont plus ou les jouets qu’‘on utilise plus au lieu de les jeter;Déchets;ROUGES;Rouges maternelles;dinosaure;02/12/2024;1;0.017373808;0;0.183461538;;
W06;Bien ranger ses affaires, ses feuilles pour ne pas casser, perdre et devoir racheter inutilement;Déchets;ROUGES;Rouges maternelles;dinosaure;02/12/2024;1;0.017373808;0;0.183461538;;
D02;Couper le moteur quand on ne roule pas;Transport;ROUGES;Rouges CM2;figue;27/11/2024;1;1.518;0;0;;
B07;Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…;Transport;ROUGES;Rouges CM2;figue;27/11/2024;1;0.506;0;0;;
E08;Prendre seulement 1 bain par semaine;Eau;ROUGES;Rouges CM2;figue;27/11/2024;1;0.140658;357;0;;
W01;Réutiliser le dos des feuilles en brouillon;Déchets;ROUGES;Rouges CM2;coco;15/12/2024;1;0.009641;0;0.8;;
