Ligne;Erreur
2;"Groupe ""Rouges maternelles "" inconnu pour l'équipe ""ROUGES""."
3;"Groupe ""Rouges maternelles "" inconnu pour l'équipe ""ROUGES""."
4;"Erreur technique (
Invalid `this.prisma.actionDone.create()` invocation in
C:\Users\User\Documents\Sync Pcloud\Professionnel\Dev\sosplanete-v2\apps\backend-v2\src\modules\tracking\tracking.service.ts:240:38

  237     }
  238 });
  239 
→ 240 await this.prisma.actionDone.create(
Foreign key constraint violated on the constraint: `ActionDone_periodId_fkey`)."
5;"Erreur technique (
Invalid `this.prisma.actionDone.create()` invocation in
C:\Users\User\Documents\Sync Pcloud\Professionnel\Dev\sosplanete-v2\apps\backend-v2\src\modules\tracking\tracking.service.ts:240:38

  237     }
  238 });
  239 
→ 240 await this.prisma.actionDone.create(
Foreign key constraint violated on the constraint: `ActionDone_periodId_fkey`)."
6;"Erreur technique (
Invalid `this.prisma.actionDone.create()` invocation in
C:\Users\User\Documents\Sync Pcloud\Professionnel\Dev\sosplanete-v2\apps\backend-v2\src\modules\tracking\tracking.service.ts:240:38

  237     }
  238 });
  239 
→ 240 await this.prisma.actionDone.create(
Foreign key constraint violated on the constraint: `ActionDone_periodId_fkey`)."
7;"Erreur technique (
Invalid `this.prisma.actionDone.create()` invocation in
C:\Users\User\Documents\Sync Pcloud\Professionnel\Dev\sosplanete-v2\apps\backend-v2\src\modules\tracking\tracking.service.ts:240:38

  237     }
  238 });
  239 
→ 240 await this.prisma.actionDone.create(
Foreign key constraint violated on the constraint: `ActionDone_periodId_fkey`)."
8;"Erreur technique (
Invalid `this.prisma.actionDone.create()` invocation in
C:\Users\User\Documents\Sync Pcloud\Professionnel\Dev\sosplanete-v2\apps\backend-v2\src\modules\tracking\tracking.service.ts:240:38

  237     }
  238 });
  239 
→ 240 await this.prisma.actionDone.create(
Foreign key constraint violated on the constraint: `ActionDone_periodId_fkey`)."
9;"Erreur technique (
Invalid `this.prisma.actionDone.create()` invocation in
C:\Users\User\Documents\Sync Pcloud\Professionnel\Dev\sosplanete-v2\apps\backend-v2\src\modules\tracking\tracking.service.ts:240:38

  237     }
  238 });
  239 
→ 240 await this.prisma.actionDone.create(
Foreign key constraint violated on the constraint: `ActionDone_periodId_fkey`)."
10;"Erreur technique (
Invalid `this.prisma.actionDone.create()` invocation in
C:\Users\User\Documents\Sync Pcloud\Professionnel\Dev\sosplanete-v2\apps\backend-v2\src\modules\tracking\tracking.service.ts:240:38

  237     }
  238 });
  239 
→ 240 await this.prisma.actionDone.create(
Foreign key constraint violated on the constraint: `ActionDone_periodId_fkey`)."
11;"Erreur technique (
Invalid `this.prisma.actionDone.create()` invocation in
C:\Users\User\Documents\Sync Pcloud\Professionnel\Dev\sosplanete-v2\apps\backend-v2\src\modules\tracking\tracking.service.ts:240:38

  237     }
  238 });
  239 
→ 240 await this.prisma.actionDone.create(
Foreign key constraint violated on the constraint: `ActionDone_periodId_fkey`)."
