"Fichier","Lignes","Statut"
"apps/sosplanete-v1/src/components/planete/PlaneteAnimee.jsx","1909","CRITIQUE (A diviser)"
"apps/admin-sosplanete-v2/src/app/dashboard/tracking/page.tsx","1580","CRITIQUE (A diviser)"
"apps/admin-sosplanete-v2/src/app/dashboard/organization/page.tsx","1161","CRITIQUE (A diviser)"
"apps/admin-sosplanete-v2/src/app/dashboard/settings/page.tsx","876","CRITIQUE (A diviser)"
"apps/admin-sosplanete-v2/src/app/dashboard/page.tsx","609","CRITIQUE (A diviser)"
"apps/backend-v2/src/modules/instance/instance.service.ts","541","CRITIQUE (A diviser)"
"apps/admin-sosplanete-v2/src/components/organization/PeriodSettings.tsx","521","CRITIQUE (A diviser)"
"apps/backend-v2/src/modules/impact/impact.service.ts","453","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/organization/GeneralSettings.tsx","442","ATTENTION (Grand - A surveiller)"
"apps/backend-v2/src/modules/legacy-api/legacy-api.service.ts","421","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/app/dashboard/tracking/IndicatorsTab.tsx","409","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/catalog/CatalogMapping.tsx","400","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/organization/CategorySettings.tsx","399","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/catalog/CatalogCsvModal.tsx","397","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/layout/DashboardLayout.tsx","388","ATTENTION (Grand - A surveiller)"
"apps/sosplanete-v1/src/histoires/sos/SosStory.jsx","371","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/organization/ActionCategoryMapper.tsx","369","ATTENTION (Grand - A surveiller)"
"apps/backend-v2/test/recette-runner.ts","359","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/tracking/ActionsImportModal.tsx","358","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/organization/TeamEditModal.tsx","357","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/organization/AnchorsManager.tsx","339","ATTENTION (Grand - A surveiller)"
"apps/sosplanete-v1/src/pages/Impacts/Impacts.jsx","337","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/catalog/ReferenceCsvModal.tsx","331","ATTENTION (Grand - A surveiller)"
"apps/sosplanete-v1/src/histoires/sos/Story.js","327","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/app/dashboard/players/page.tsx","312","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/users/UserEditModal.tsx","310","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/organization/CsvImportModal.tsx","306","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/organization/CategoryImportModal.tsx","306","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/app/dashboard/catalog/page.tsx","304","ATTENTION (Grand - A surveiller)"
"apps/admin-sosplanete-v2/src/components/catalog/LocalActionEditModal.tsx","302","ATTENTION (Grand - A surveiller)"
"apps/sosplanete-v1/src/minigames/Tri/Game.jsx","293","OK (Moyen)"
"apps/backend-v2/src/modules/team/team.service.ts","283","OK (Moyen)"
"apps/sosplanete-v1/src/pages/Login/Login.jsx","270","OK (Moyen)"
"apps/sosplanete-v1/src/pages/Actions/Actions.jsx","256","OK (Moyen)"
"apps/sosplanete-v1/src/pages/Scores/Scores.jsx","248","OK (Moyen)"
"apps/backend-v2/src/modules/period/period.service.ts","241","OK (Moyen)"
"apps/admin-sosplanete-v2/src/components/settings/UsersSection.tsx","233","OK (Moyen)"
"apps/backend-v2/src/modules/instance/instance.service.spec.ts","230","OK (Moyen)"
"apps/admin-sosplanete-v2/src/components/catalog/mapping/ReferenceList.tsx","226","OK (Moyen)"
"apps/backend-v2/src/modules/category/category.service.ts","222","OK (Moyen)"
"apps/admin-sosplanete-v2/src/components/layout/TopBar.tsx","221","OK (Moyen)"
"apps/admin-sosplanete-v2/src/components/catalog/mapping/LocalList.tsx","221","OK (Moyen)"
"apps/backend-v2/src/modules/tracking/tracking.service.ts","216","OK (Moyen)"
"apps/sosplanete-v1/src/histoires/sos/Chapitre.jsx","213","OK (Moyen)"
"apps/admin-sosplanete-v2/src/components/settings/CatalogSection.tsx","202","OK (Moyen)"
"apps/sosplanete-v1/src/minigames/Bataille/BatailleChoix.jsx","198","OK (Moyen)"
"apps/sosplanete-v1/src/utils/AuthContext.jsx","194","OK (Moyen)"
"apps/backend-v2/src/modules/local-action/local-action.service.ts","193","OK (Moyen)"
"apps/admin-sosplanete-v2/src/types/index.ts","192","OK (Moyen)"
"apps/sosplanete-v1/src/pages/Actions/Action.jsx","191","OK (Moyen)"
"apps/sosplanete-v1/src/minigames/Tri/Tri.jsx","190","OK (Moyen)"
"apps/admin-sosplanete-v2/src/components/auth/LoginForm.tsx","180","OK (Moyen)"
"apps/admin-sosplanete-v2/src/components/organization/EditPlayerModal.tsx","175","OK (Moyen)"
"apps/sosplanete-v1/src/minigames/Quizz/Quizz.jsx","167","OK (Moyen)"
"apps/backend-v2/src/modules/users/users.controller.ts","167","OK (Moyen)"
"apps/sosplanete-v1/src/minigames/Quizz/QuizzQuestion.jsx","167","OK (Moyen)"
"apps/sosplanete-v1/src/minigames/Bataille/Bataille.jsx","166","OK (Moyen)"
"apps/backend-v2/src/modules/stimulation/eco-bar-race.service.ts","165","OK (Moyen)"
"apps/sosplanete-v1/src/minigames/Tri/Dechets.js","164","OK (Moyen)"
"apps/backend-v2/src/modules/team/team.controller.ts","162","OK (Moyen)"
"apps/sosplanete-v1/src/utils/Breakpoints.js","161","OK (Moyen)"
"apps/backend-v2/src/modules/instance/instance.controller.ts","158","OK (Moyen)"
"apps/backend-v2/scripts/import-excel-actions.ts","155","OK (Moyen)"
"apps/admin-sosplanete-v2/src/components/organization/EditGroupModal.tsx","155","OK (Moyen)"
"apps/sosplanete-v1/src/pages/Moi/Moi.jsx","152","OK (Moyen)"
"apps/sosplanete-v1/src/components/NavBar.jsx","150","OK (Correct)"
"apps/backend-v2/src/modules/stimulation/eco-bar-race.service.spec.ts","150","OK (Correct)"
"apps/backend-v2/src/modules/category-ref/category-ref.service.ts","142","OK (Correct)"
"apps/backend-v2/src/modules/stimulation/animal-unlock.service.ts","142","OK (Correct)"
"apps/sosplanete-v1/src/serviceWorkerRegistration.js","141","OK (Correct)"
"apps/backend-v2/src/modules/instance/year.service.ts","139","OK (Correct)"
"apps/admin-sosplanete-v2/src/app/dashboard/select-instance/page.tsx","135","OK (Correct)"
"apps/sosplanete-v1/src/minigames/Quizz/QuizzResultat.jsx","132","OK (Correct)"
"apps/backend-v2/src/modules/auth/auth.service.ts","130","OK (Correct)"
"apps/sosplanete-v1/src/minigames/Bataille/BatailleResultats.jsx","129","OK (Correct)"
"apps/backend-v2/prisma/apply_v3_full.ts","127","OK (Correct)"
"apps/sosplanete-v1/src/pages/Actions/CategoriesNavbar.jsx","126","OK (Correct)"
"apps/admin-sosplanete-v2/src/components/organization/InitializeYearModal.tsx","125","OK (Correct)"
"apps/backend-v2/src/modules/stimulation/stimulation.service.ts","125","OK (Correct)"
"apps/sosplanete-v1/src/pages/Scores/ScoresTotal.jsx","124","OK (Correct)"
"apps/sosplanete-v1/src/components/Mascotte/Mascotte.jsx","124","OK (Correct)"
"apps/admin-sosplanete-v2/src/components/catalog/ActionGalleryCard.tsx","117","OK (Correct)"
"apps/sosplanete-v1/src/pages/Scores/DeblocageAnimaux.jsx","116","OK (Correct)"
"apps/backend-v2/test/test-006.ts","113","OK (Correct)"
"apps/backend-v2/scratch/test-tracking-service.ts","111","OK (Correct)"
"apps/sosplanete-v1/src/minigames/Bataille/BatailleContext.jsx","109","OK (Correct)"
"apps/backend-v2/src/modules/child/child.service.ts","108","OK (Correct)"
"apps/backend-v2/src/modules/local-action/local-action.controller.ts","107","OK (Correct)"
"apps/backend-v2/src/modules/action-ref/action-ref.service.ts","107","OK (Correct)"
"apps/sosplanete-v1/src/pages/Fiche/Fiche.jsx","105","OK (Correct)"
"apps/admin-sosplanete-v2/src/components/instances/InstanceDeleteConfirm.tsx","105","OK (Correct)"
"apps/admin-sosplanete-v2/src/hooks/useSession.ts","101","OK (Correct)"
"apps/sosplanete-v1/src/minigames/Tri/TriGameContext.jsx","101","OK (Correct)"
"apps/sosplanete-v1/src/minigames/GameContext.jsx","100","OK (Correct)"
"apps/admin-sosplanete-v2/src/components/ui/FloatingActionBar.tsx","99","OK (Correct)"
"apps/sosplanete-v1/src/App.jsx","98","OK (Correct)"
"apps/sosplanete-v1/src/minigames/Bataille/BatailleGame.jsx","98","OK (Correct)"
"apps/sosplanete-v1/src/minigames/Tri/Resultats.jsx","98","OK (Correct)"
"apps/admin-sosplanete-v2/src/components/ui/ConfirmDialog.tsx","98","OK (Correct)"
"apps/backend-v2/src/modules/legacy-api/legacy-api.controller.ts","94","OK (Correct)"
"apps/sosplanete-v1/src/minigames/Bataille/BatailleCard.jsx","91","OK (Correct)"
"apps/sosplanete-v1/src/pages/Moi/ChildCard.jsx","88","OK (Correct)"
"apps/sosplanete-v1/src/pages/Moi/ActionRealisees.jsx","87","OK (Correct)"
"apps/backend-v2/src/main.ts","87","OK (Correct)"
"apps/backend-v2/src/modules/stimulation/stimulation.controller.ts","85","OK (Correct)"
"apps/sosplanete-v1/src/pages/Fiche/Categorie.jsx","85","OK (Correct)"
"apps/admin-sosplanete-v2/src/components/catalog/GalleryGroup.tsx","83","OK (Correct)"
"apps/sosplanete-v1/src/pages/Profile/Profile.jsx","83","OK (Correct)"
"apps/sosplanete-v1/src/minigames/Quizz/QuizzGame.jsx","81","OK (Correct)"
"apps/backend-v2/src/modules/users/users.service.ts","80","OK (Correct)"
"apps/backend-v2/src/common/filters/global-exception.filter.ts","80","OK (Correct)"
"apps/admin-sosplanete-v2/src/hooks/useInstanceYear.ts","80","OK (Correct)"
"apps/backend-v2/src/modules/category-ref/category-ref.controller.ts","74","OK (Correct)"
"apps/backend-v2/prisma/apply_corrections_v2.ts","74","OK (Correct)"
"apps/backend-v2/src/app.module.ts","74","OK (Correct)"
"apps/sosplanete-v1/src/service-worker.js","73","OK (Correct)"
"apps/backend-v2/prisma/restore_test_env.ts","71","OK (Correct)"
"apps/backend-v2/src/seed.ts","70","OK (Correct)"
"apps/sosplanete-v1/src/hooks/useSwipe.jsx","69","OK (Correct)"
"apps/sosplanete-v1/src/pages/Scores/ScoresSemaine.jsx","68","OK (Correct)"
"apps/sosplanete-v1/src/api/nnauruAPI.jsx","68","OK (Correct)"
"apps/sosplanete-v1/src/pages/Scores/Histogramme.jsx","66","OK (Correct)"
"apps/backend-v2/src/modules/category/category.controller.ts","63","OK (Correct)"
"apps/sosplanete-v1/src/minigames/components/CountDown.jsx","60","OK (Correct)"
"apps/admin-sosplanete-v2/src/components/ui/PremiumProgressBar.tsx","59","OK (Correct)"
"apps/admin-sosplanete-v2/src/components/ui/Button.tsx","58","OK (Correct)"
"apps/backend-v2/scratch/debug-ecobar.ts","57","OK (Correct)"
"apps/sosplanete-v1/src/components/Toggles/ToggleSwitch.jsx","57","OK (Correct)"
"apps/sosplanete-v1/src/pages/Scores/ImageSlider.jsx","56","OK (Correct)"
"apps/sosplanete-v1/src/pages/Discovery/Discovery.jsx","56","OK (Correct)"
"apps/backend-v2/src/modules/auth/auth.controller.ts","56","OK (Correct)"
"apps/sosplanete-v1/src/pages/Fiche/Categories.jsx","55","OK (Correct)"
"apps/sosplanete-v1/src/minigames/Games.jsx","55","OK (Correct)"
"apps/backend-v2/src/modules/impact/impact.controller.ts","55","OK (Correct)"
"apps/backend-v2/prisma/update_test_csvs_v3.ts","55","OK (Correct)"
"apps/backend-v2/src/modules/period/period.controller.ts","54","OK (Correct)"
"apps/backend-v2/src/modules/group/group.service.ts","54","OK (Correct)"
"apps/sosplanete-v1/src/minigames/Tri/container.jsx","53","OK (Correct)"
"apps/backend-v2/src/modules/instance/dto/create-instance.dto.ts","53","OK (Correct)"
