ID_REF action;Titre action;CO2e (kg CO2e / sem);Eau (l /sem);Déchet kg /sem);Catégorie;tCO2e /an;Impact;Impact total;Etoile pondéré;Image
B01;Ne pas prélever d’espèces vivantes dans la nature (animaux ou plantes);0;0;0;Biodiversité;0;Behaviour;0;0;B01.png
B02;Ne pas tuer les araignées. les insectes (les mettre dehors…);0;0;0;Biodiversité;0;Behaviour;0;0;B02.jpg
B03;Donner à manger aux oiseaux dans son jardin ou sur son balcon;0;0;0;Biodiversité;0;Behaviour;0;0;B03.jpg
B04;Faire un jardin potager;4.48;0;0;Biodiversité;0.23296;Moderate;3.584;4;B04.png
B05;Manger de la viande de gros animaux une seule fois par jour (vache, porc, mouton);4.959118;0;0;Biodiversité;0.257874137;High;3.967294;4;B05.jpg
B06;Manger de la viande une seule fois par jour (volaille, gros animaux, ...);5.464831;0;0;Biodiversité;0.284171212;High;4.371865;5;B06.png
B07;Manger de la viande ou du poisson une seule fois par jour;5.962227;0;0;Biodiversité;0.31003579;High;4.769781;5;B07.png
B08;Manger des repas végétarien 1 fois par jour;1.27387;0;0;Biodiversité;0.066241244;Moderate;1.019096;4;B08.png
C01;Acheter des produits locaux et de saison (hors serres chauffées) qui n’ont pas besoin d’être transportés;13.7935;0;0;Courses;0.717262;High;11.0348;5;C01.png
C02;Ne pas acheter des produits contenant de l'huile de palme;0.088219;0;0;Courses;0.004587397;Low;0.070575;2;C02.jpg
C03;Acheter des fruits ou légumes de saison;6.932;0;0;Courses;0.360464;High;5.5456;5;C03.jpg
C04;Faire soi-même ses jus de fruits pour éviter les bouteilles en plastique;0.001386;0;0.06;Courses;0.000072072;Low;0.007109;2;C04.jpg
C05;Faire soi-même ses produits d’entretien pour éviter les emballages;0.006;0;0.03;Courses;0.000312;Low;0.0078;2;C05.jpg
C06;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;1.260407;0;0.180058;Courses;0.065541175;Moderate;1.026332;4;C06.png
D01;Limiter l'utilisation du papier : Utiliser les feuilles des 2 côtés / faire du brouillon / Utiliser l’ardoise pour chercher / Prendre du papier recyclé…;0.009641;0;0.8;Déchet;0.000501332;Low;0.087713;3;D01.jpg
D02;Tout manger ce qu’il y a dans nos assiettes (cantine/maison);2.453511;0;1.390385;Déchet;0.127582549;Moderate;2.101847;4;D02.jpg
